Job Number,Filepath,Planning Enforcement Reference Number,Address,Date,Document Type,BS7666UPRN,Easting,Northing
JN24960,"Box 24_Client Box 24\ENF Notices Feb 77-Dec 79\38 REDHILL ROAD, ROWLANDS CASTLE_PT-ME-12-9-115.pdf",PT/ME/12/9/115,"38 REDHILL ROAD, ROWLANDS CASTLE",13/11/1979,Planning Enforcement Notice,,,
JN24960,"Box 24_Client Box 24\ENF Notices Feb 77-Dec 79\Rabbit Breeding House, Kenton House, Headley Down, Bordon, Hants, GU35 8NL_PK-0-12A-47.pdf",PK/0/12A/47,"Rabbit Breeding House, Kenton House, Headley Down, Bordon, Hants, GU35 8NL",09/03/1977,Planning Enforcement Notice,,,
JN24960,"Box 24_Client Box 24\ENF Notices Feb 77-Dec 79\Windmill View, Hazel Grove, Clanfield, Waterlooville, PO8 0LE_PW-S-12-9-55.pdf",PW/S/12/9/55,"Windmill View, Hazel Grove, Clanfield, Waterlooville, PO8 0LE",24/02/1977,Planning Enforcement Notice,,,
JN24960,"Box 24_Client Box 24\ENF Notices Feb 77-Dec 79\Froyle Motor Garage, Froyle, Alton, Hampshire, GU34 4LA_C107-CV.pdf",C107/CV,"Froyle Motor Garage, Froyle, Alton, Hampshire, GU34 4LA",11/02/1977,Planning Enforcement Notice,,,
JN24960,"Box 24_Client Box 24\ENF Notices Feb 77-Dec 79\12 & 13, Roselands, Lovedean, PO8 9QZ_TGP-1100-6.pdf",TGP/1100/6,"12 & 13, Roselands, Lovedean, PO8 9QZ",01/11/1979,Planning Enforcement Notice,,,
JN24960,"Box 24_Client Box 24\ENF Notices Feb 77-Dec 79\'Corbiere', Drift Road, Whitehill Bordon, GU35 9DT_PT-DLB-12-9-12.pdf",PT/DLB/12/9/12,"'Corbiere', Drift Road, Whitehill Bordon, GU35 9DT",30/10/1979,Planning Enforcement Notice,,,
JN24960,"Box 24_Client Box 24\ENF Notices Feb 77-Dec 79\23 Sussex Road, Petersfield, GU31 4JX_PTAK-12-9-114.pdf",PTAK/12/9/114,"23 Sussex Road, Petersfield, GU31 4JX",19/10/1979,Planning Enforcement Notice,1710030798,474791,122906
JN24960,"Box 24_Client Box 24\ENF Notices Jan 80 - Dec 81 19\Decor House, Hogmoor Road, Bordon, GU35 9HW_DZ-MK-12-9.pdf",DZ/MK/12/9,"Decor House, Hogmoor Road, Bordon, GU35 9HW",18/12/1981,Planning Enforcement Notice,,,
JN24960,"Box 24_Client Box 24\ENF Notices Jan 80 - Dec 81 19\6 HIGH STREET, C_DZ-JK.pdf",DZ/JK,"6 HIGH STREET, C",17/12/1981,Planning Enforcement Notice,,,
JN24960,"Box 24_Client Box 24\ENF Notices Jan 80 - Dec 81 19\18 GREENFIELDS AVENUE, ALTON_DZ-JK.pdf",DZ/JK,"18 GREENFIELDS AVENUE, ALTON",14/12/1981,Planning Enforcement Notice,,,
JN24960,"Box 24_Client Box 24\ENF Notices Jan 80 - Dec 81 19\The Orchard, Idsworth House, Rowlands Castle, PO8 0AW_DML-P.pdf",DML/P,"The Orchard, Idsworth House, Rowlands Castle, PO8 0AW",25/05/1982,Planning Enforcement Notice,,,
JN24960,"Box 24_Client Box 24\ENF Notices Jan 80 - Dec 81 19\The Orchard, Idsworth House, Rowlands Castle, PO8 0AW_F22383-12.pdf",F22383/12,"The Orchard, Idsworth House, Rowlands Castle, PO8 0AW",26/11/1981,Planning Enforcement Notice,,,
JN24960,"Box 24_Client Box 24\ENF Notices Jan 80 - Dec 81 19\90 South Lane, Clanfield, Portsmouth, Waterlooville, PO8 0RY_DZ-DLB.pdf",DZ/DLB,"90 South Lane, Clanfield, Portsmouth, Waterlooville, PO8 0RY",13/11/1981,Planning Enforcement Notice,,,
JN24960,"Box 24_Client Box 24\ENF Notices Jan 80 - Dec 81 19\18 New Road, Clanfield, Waterlooville, PO8 0NS_F.21834-10.pdf",F.21834/10,"18 New Road, Clanfield, Waterlooville, PO8 0NS",02/09/1982,Planning Enforcement Appeal Decision,,,
JN24960,"Box 24_Client Box 24\ENF Notices Jan 80 - Dec 81 19\-Its Ours-, Catherington Lith, Horndean, PO8 0TD_F20379-1.pdf",F20379/1,"""Its Ours"", Catherington Lith, Horndean, PO8 0TD",22/12/1981,Planning Enforcement Notice,,,
JN24960,"Box 24_Client Box 24\ENF Notices Jan 80 - Dec 81 19\-Its Ours-, Catherington Lith, Horndean, Hampshire, PO8 0TD_N-A.pdf",N/A,"""Its Ours"", Catherington Lith, Horndean, Hampshire, PO8 0TD",19/10/1981,Planning Enforcement Notice,,,
JN24960,"Box 24_Client Box 24\ENF Notices Jan 80 - Dec 81 19\1 Hogmoor Road, Bordon, GU35 9HN_KK-DLB-12-9.pdf",KK/DLB/12/9,"1 Hogmoor Road, Bordon, GU35 9HN",23/10/1981,Planning Enforcement Notice,,,
JN24960,"Box 24_Client Box 24\ENF Notices Jan 80 - Dec 81 19\Pitlark Farm, Medstead, Alton, Hampshire, GU34 5QD_KK-MK-12-9-158.pdf",KK/MK/12/9/158,"Pitlark Farm, Medstead, Alton, Hampshire, GU34 5QD",22/10/1981,Planning Enforcement Notice,,,
JN24960,"Box 24_Client Box 24\ENF Notices Jan 80 - Dec 81 19\8 Woolmer Cottages, Blackmoor, Hampshire, GU33 6BH_CGW-SJ-PE.pdf",CGW/SJ/PE,"8 Woolmer Cottages, Blackmoor, Hampshire, GU33 6BH",23/10/1981,Planning Enforcement Notice,,,
JN24960,"Box 24_Client Box 24\ENF Notices Jan 80 - Dec 81 19\2-8 The Green, Rowlands Castle, Hampshire, PO9 6BN_CW-SJ-F.22051-4.pdf",CW/SJ/F.22051/4,"2-8 The Green, Rowlands Castle, Hampshire, PO9 6BN",18/03/1982,Planning Enforcement Appeal Decision,,,
JN24960,"Box 24_Client Box 24\ENF Notices Jan 80 - Dec 81 19\The Old Brickworks, Hawkley Road, Hawkley, Liss, GU33 6JT_KK-DLB-12-9-161.pdf",KK/DLB/12/9/161,"The Old Brickworks, Hawkley Road, Hawkley, Liss, GU33 6JT",13/10/1981,Planning Enforcement Notice,,,
