Job Number,Filepath,Planning Enforcement Reference Number,Address,Date,Document Type,BS7666UPRN,Easting,Northing
JN24960,"Box 25_Client Box 25\ENF Notices Jan 87 - Oct 88 22\Glendale, Mornington Road, Whitehill, Hants, GU35 9EW_PE 1537_00001.pdf",PE 1537,"Glendale, Mornington Road, Whitehill, Hants, GU35 9EW",14/12/1987,Planning Enforcement Notice,,,
JN24960,"Box 25_Client Box 25\ENF Notices Jan 87 - Oct 88 22\Binns Yard, Oakhanger Road, Bordon, GU35 9HT_F221229-4ENF139.pdf",F221229/4ENF139,"Binns Yard, Oakhanger Road, Bordon, GU35 9HT",01/08/1988,Planning Enforcement Appeal Decision,,,
JN24960,"Box 25_Client Box 25\ENF Notices Jan 87 - Oct 88 22\Trodham Plant Hire Yard, Liphook Road, Hollywater, Whitehill, Hampshire, Bordon, GU35 0AG_T-APP-M1710-A-87-078601-P6.pdf",T/APP/M1710/A/87/078601/P6,"Trodham Plant Hire Yard, Liphook Road, Hollywater, Whitehill, Hampshire, Bordon, GU35 0AG",14/03/1988,Planning Enforcement Appeal Decision,,,
JN24960,"Box 25_Client Box 25\ENF Notices Jan 87 - Oct 88 22\Clanfield Farm, South Lane, Clanfield, Hampshire, PO8 0RA_F.20268-14-ENF.pdf",F.20268/14/ENF,"Clanfield Farm, South Lane, Clanfield, Hampshire, PO8 0RA",21/10/1987,Planning Enforcement Notice,,,
JN24960,"Box 25_Client Box 25\ENF Notices Jan 87 - Oct 88 22\Vale Farm, Smugglers Lane, Ropley Hants, Alresford, SO24 0HD_APP-C-87-M1710-000041.pdf",APP/C/87/M1710/000041,"Vale Farm, Smugglers Lane, Ropley Hants, Alresford, SO24 0HD",03/08/1987,Planning Enforcement Appeal Decision,,,
JN24960,"Box 25_Client Box 25\ENF Notices Jan 87 - Oct 88 22\Caravan, Vale Farm, Smugglers Lane, Ropley, Alresford, SO24 0HD_F.29543-1-ENF.pdf",F.29543/1/ENF,"Caravan, Vale Farm, Smugglers Lane, Ropley, Alresford, SO24 0HD",08/10/1987,Planning Enforcement Notice,,,
JN24960,"Box 25_Client Box 25\ENF Notices Jan 87 - Oct 88 22\Kitfield Farm, Five Lanes End, Lymington Bottom, Four Marks, Alton, Hants, GU34 5AH_F1-4C.pdf",F1/4C,"Kitfield Farm, Five Lanes End, Lymington Bottom, Four Marks, Alton, Hants, GU34 5AH",26/02/1988,Planning Enforcement Appeal Decision,,,
JN24960,"Box 25_Client Box 25\ENF Notices Jan 87 - Oct 88 22\Premises at Marlefield, Shalden, Alton Hants, Hampshire, GU34 4DT_RY-AW.pdf",RY/AW,"Premises at Marlefield, Shalden, Alton Hants, Hampshire, GU34 4DT",29/06/1987,Planning Enforcement Notice,,,
JN24960,"Box 25_Client Box 25\ENF Notices Jan 87 - Oct 88 22\Clanfield Farm, South Lane, Clanfield, PO8 0RA_F.20268-1-ENF.pdf",F.20268/1/ENF,"Clanfield Farm, South Lane, Clanfield, PO8 0RA",19/06/1987,Planning Enforcement Notice,,,
JN24960,"Box 25_Client Box 25\ENF Notices Jan 87 - Oct 88 22\Clanfield Farm, South Lane, Clanfield, Hampshire, PO8 0RA_PRD 1434-4.pdf",PRD 1434/4,"Clanfield Farm, South Lane, Clanfield, Hampshire, PO8 0RA",11/06/1987,Planning Enforcement Notice,,,
JN24960,"Box 25_Client Box 25\ENF Notices Jan 87 - Oct 88 22\Clanfield Farm, South Lane, Clanfield, Hampshire, PO8 0RA_PRD1434-4.pdf",PRD1434/4,"Clanfield Farm, South Lane, Clanfield, Hampshire, PO8 0RA",11/06/1987,Planning Enforcement Notice,,,
JN24960,"Box 25_Client Box 25\ENF Notices Jan 87 - Oct 88 22\Clanfield Farm, South Lane, Clanfield, Hampshire, PO8 0RA_PRD 1434-4_00001.pdf",PRD 1434/4,"Clanfield Farm, South Lane, Clanfield, Hampshire, PO8 0RA",11/06/1987,Planning Enforcement Notice,,,
JN24960,"Box 25_Client Box 25\ENF Notices Jan 87 - Oct 88 22\Clanfield Farm, South Lane, Clanfield, Hampshire, PO8 0RA_PRD 1434-4_00002.pdf",PRD 1434/4,"Clanfield Farm, South Lane, Clanfield, Hampshire, PO8 0RA",11/06/1987,Planning Enforcement Notice,,,
JN24960,"Box 25_Client Box 25\ENF Notices Jan 87 - Oct 88 22\Clanfield Farm, South Lane, Clanfield, Hampshire, PO8 0RA_PRD 1434-4_00003.pdf",PRD 1434/4,"Clanfield Farm, South Lane, Clanfield, Hampshire, PO8 0RA",11/06/1987,Planning Enforcement Notice,,,
JN24960,"Box 25_Client Box 25\ENF Notices Jan 87 - Oct 88 22\Clanfield Farm, South Lane, Clanfield, Hampshire, PO8 0RA_PRD 1434-4_00004.pdf",PRD 1434/4,"Clanfield Farm, South Lane, Clanfield, Hampshire, PO8 0RA",11/06/1987,Planning Enforcement Notice,,,
JN24960,"Box 25_Client Box 25\ENF Notices Jan 87 - Oct 88 22\Clanfield Farm, South Lane, Clanfield, Hampshire, PO8 0RA_PRD 1434-4_00005.pdf",PRD 1434/4,"Clanfield Farm, South Lane, Clanfield, Hampshire, PO8 0RA",22/06/1987,Planning Enforcement Notice,,,
JN24960,"Box 25_Client Box 25\ENF Notices Jan 87 - Oct 88 22\Clanfield Farm, South Lane, Clanfield, Hampshire, PO8 0RA_PRD 1434-4_00006.pdf",PRD 1434/4,"Clanfield Farm, South Lane, Clanfield, Hampshire, PO8 0RA",11/06/1987,Planning Enforcement Notice,,,
JN24960,"Box 25_Client Box 25\ENF Notices Jan 87 - Oct 88 22\96 LIPHOOK ROAD, LINDFORD, BORDON, HAMPSHIRE_F29398.pdf",F29398,"96 LIPHOOK ROAD, LINDFORD, BORDON, HAMPSHIRE",01/06/1987,Planning Enforcement Notice,,,
JN24960,"Box 25_Client Box 25\ENF Notices Jan 87 - Oct 88 22\Little Orchard, Grosvenor Road, Soldridge, Medstead, Hampshire, GU34 5JE_F26309.pdf",F26309,"Little Orchard, Grosvenor Road, Soldridge, Medstead, Hampshire, GU34 5JE",01/06/1987,Planning Enforcement Notice,,,
JN24960,"Box 25_Client Box 25\ENF Notices Jan 87 - Oct 88 22\Shortheath Common, GU35 9JG_DB-CMM-12-9.pdf",DB/CMM/12/9,"Shortheath Common, GU35 9JG",18/05/1987,Planning Enforcement Notice,,,
JN24960,"Box 25_Client Box 25\ENF Notices Jan 87 - Oct 88 22\Short Heath Common, Kingsley, Hants, GU35 9JG_F.29801-ENF.pdf",F.29801/ENF,"Short Heath Common, Kingsley, Hants, GU35 9JG",22/10/1990,Planning Enforcement Appeal Decision,,,
JN24960,"Box 25_Client Box 25\ENF Notices Jan 87 - Oct 88 22\The Sewage Works, Riverside Road, Passfield, GU31 4EZ_T-APP-C-87-M1710-000005-8.pdf",T/APP/C/87/M1710/000005-8,"The Sewage Works, Riverside Road, Passfield, GU31 4EZ",10/02/1989,Planning Enforcement Appeal Decision,,,
JN24960,"Box 25_Client Box 25\ENF Notices Jan 87 - Oct 88 22\Penally Farm, Liphook, GU30 7SS_T-APP-C-M1710-0001.pdf",T/APP/C/M1710/0001,"Penally Farm, Liphook, GU30 7SS",27/11/1987,Planning Enforcement Appeal Decision,,,
JN24960,"Box 25_Client Box 25\ENF Notices Jan 87 - Oct 88 22\The Sewage Works, Riverside Road, Passfield, GU31 4EZ_T-APP-C-87-M1710-000005-8_00001.pdf",T/APP/C/87/M1710/000005-8,"The Sewage Works, Riverside Road, Passfield, GU31 4EZ",06/02/1989,Planning Enforcement Appeal Decision,,,
JN24960,"Box 25_Client Box 25\ENF Notices June 85 - Nov 86 21\Mole Farm, Common Hill, Medstead, Hampshire, GU34 5LZ_F27184-3.pdf",F27184/3,"Mole Farm, Common Hill, Medstead, Hampshire, GU34 5LZ",03/10/1985,Planning Enforcement Notice,,,
JN24960,"Box 25_Client Box 25\ENF Notices June 85 - Nov 86 21\Six Bells Farm, Blendworth Lane, Blendworth, Horndean, PO8 0AR_F.25798-5-ENF.pdf",F.25798/5/ENF,"Six Bells Farm, Blendworth Lane, Blendworth, Horndean, PO8 0AR",17/02/1986,Planning Enforcement Appeal Decision,,,
JN24960,"Box 25_Client Box 25\ENF Notices June 85 - Nov 86 21\Premises Off Riverside Close, Liss, GU33 7AE_F26770-3.pdf",F26770/3,"Premises Off Riverside Close, Liss, GU33 7AE",26/06/1985,Planning Enforcement Notice,,,
JN24960,"Box 25_Client Box 25\ENF Notices June 85 - Nov 86 21\IONA, HUSSELL LANE, MEDSTEAD, ALTON, HAMPSHIRE_DB-BJ-12-9-222.pdf",DB/BJ/12/9/222,"IONA, HUSSELL LANE, MEDSTEAD, ALTON, HAMPSHIRE",21/11/1985,Planning Enforcement Notice,,,
JN24960,"Box 25_Client Box 25\ENF Notices June 85 - Nov 86 21\Denbar, Homestead Road, Medstead, Hampshire, GU34 5NA_KK-AW-12-9-207.pdf",KK/AW/12/9/207,"Denbar, Homestead Road, Medstead, Hampshire, GU34 5NA",18/06/1985,Planning Enforcement Notice,,,
JN24960,"Box 25_Client Box 25\ENF Notices June 85 - Nov 86 21\Foul Lane, Medstead and Land and Barn Adjoining Roscommon, GU34 5PH_KK-AW-12-9-209.pdf",KK/AW/12/9/209,"Foul Lane, Medstead and Land and Barn Adjoining Roscommon, GU34 5PH",18/06/1985,Planning Enforcement Notice,,,
JN24960,"Box 25_Client Box 25\ENF Notices June 85 - Nov 86 21\OLD BARN FARM, HEWSHOTT LANE, LIPHOOK_DB-ME-12-9-256.pdf",DB/ME/12/9/256,"OLD BARN FARM, HEWSHOTT LANE, LIPHOOK",14/11/1986,Planning Enforcement Notice,,,
JN24960,"Box 25_Client Box 25\ENF Notices June 85 - Nov 86 21\Plot 40 Hamilton Close, Bordon, GU35 0UD_F21110-21.pdf",F21110/21,"Plot 40 Hamilton Close, Bordon, GU35 0UD",17/11/1986,Planning Enforcement Notice,,,
JN24960,"Box 25_Client Box 25\ENF Notices June 85 - Nov 86 21\Blacknest Road, Binsted, Alton, Hampshire, GU34 4QA_T-APP-M1710-C-8-67421010.pdf",T/APP/M1710/C/8-67421010,"Blacknest Road, Binsted, Alton, Hampshire, GU34 4QA",08/05/1987,Planning Enforcement Appeal Decision,,,
JN24960,"Box 25_Client Box 25\ENF Notices June 85 - Nov 86 21\LAND ADJOINING BLACKNEST WORKS, BLACKNEST ROAD, BINSTED, ALTON, HAMPSHIRE_F23240-8.pdf",F23240/8,"LAND ADJOINING BLACKNEST WORKS, BLACKNEST ROAD, BINSTED, ALTON, HAMPSHIRE",06/11/1986,Planning Enforcement Notice,,,
JN24960,"Box 25_Client Box 25\ENF Notices June 85 - Nov 86 21\Malthouse Bungalow, Kingsley, Bordon, GU35 0QP_F22790-5-ENF.pdf",F22790/5/ENF,"Malthouse Bungalow, Kingsley, Bordon, GU35 0QP",17/09/1986,Planning Enforcement Notice,,,
JN24960,"Box 25_Client Box 25\ENF Notices June 85 - Nov 86 21\Malthouse Bungalow, Kingsley, Hampshire, GU35 0QP_T-APP-M1710-C-86-3864-5-P6.pdf",T/APP/M1710/C/86/3864-5/P6,"Malthouse Bungalow, Kingsley, Hampshire, GU35 0QP",10/04/1987,Planning Enforcement Appeal Decision,,,
JN24960,"Box 25_Client Box 25\ENF Notices June 85 - Nov 86 21\Roscommon, Foul Lane, Medstead, Alton, GU34 5PH_DB-AW-12-9-252.pdf",DB/AW/12/9/252,"Roscommon, Foul Lane, Medstead, Alton, GU34 5PH",04/09/1986,Planning Enforcement Notice,1710100525,465977.5,137019.5
JN24960,"Box 25_Client Box 25\ENF Notices June 85 - Nov 86 21\126 Borough Road, GU32 3LP_APP-M1710-C-86-3424.pdf",APP/M1710/C/86/3424,"126 Borough Road, GU32 3LP",19/12/1986,Planning Enforcement Notice,,,
JN24960,"Box 25_Client Box 25\ENF Notices June 85 - Nov 86 21\-Hereward-, Stubbins Down, Horndean, Hampshire, PO8 0JG_T-APP-M1710-C-86-269.pdf",T/APP/M1710/C/86/269,"""Hereward"", Stubbins Down, Horndean, Hampshire, PO8 0JG",08/01/1987,Planning Enforcement Appeal Decision,,,
JN24960,"Box 25_Client Box 25\ENF Notices June 85 - Nov 86 21\Wishanger Stud, Frensham Lane, Headley, GU10 2QJ_F23725-2.pdf",F23725/2,"Wishanger Stud, Frensham Lane, Headley, GU10 2QJ",05/06/1986,Planning Enforcement Notice,,,
JN24960,"Box 25_Client Box 25\ENF Notices June 85 - Nov 86 21\Alton Lane, Four Marks, GU34 5AL_F.23912-0ENF.pdf",F.23912/0ENF,"Alton Lane, Four Marks, GU34 5AL",08/06/1987,Planning Enforcement Appeal Decision,,,
JN24960,"Box 25_Client Box 25\ENF Notices June 85 - Nov 86 21\Jennie Green Lane, Medstead, GU34 5PA_CW-RBB-F2044-2-ENF87.pdf",CW/RBB/F2044/2/ENF87,"Jennie Green Lane, Medstead, GU34 5PA",16/01/1987,Planning Enforcement Appeal Decision,,,
JN24960,"Box 25_Client Box 25\ENF Notices June 85 - Nov 86 21\STODHAM LANE, LISS_GF-SB-F.23798-1-ENF84.pdf",GF/SB/F.23798/1/ENF84,"STODHAM LANE, LISS",09/12/1986,Planning Enforcement Appeal Decision,,,
JN24960,"Box 25_Client Box 25\ENF Notices June 85 - Nov 86 21\1 WINDSOR ROAD, PETERSFIELD, HANTS_F.28443-1-ENF.pdf",F.28443/1/ENF,"1 WINDSOR ROAD, PETERSFIELD, HANTS",10/04/1986,Planning Enforcement Appeal Decision,,,
JN24960,"Box 25_Client Box 25\ENF Notices June 85 - Nov 86 21\2, DURFORD ROAD, PETERSFIELD_F25725-4.pdf",F25725/4,"2, DURFORD ROAD, PETERSFIELD",19/03/1986,Planning Enforcement Notice,,,
JN24960,"Box 25_Client Box 25\ENF Notices June 85 - Nov 86 21\The Vale, South Road, Horndean, Hampshire, PO8 0EP_F.24837-14.pdf",F.24837/14,"The Vale, South Road, Horndean, Hampshire, PO8 0EP",07/07/1986,Planning Enforcement Appeal Decision,,,
JN24960,"Box 25_Client Box 25\ENF Notices June 85 - Nov 86 21\Plots 115-125 Catherington Lith, Horndean, Hampshire, PO8 0HA_PE 1351.pdf",PE 1351,"Plots 115-125 Catherington Lith, Horndean, Hampshire, PO8 0HA",28/02/1988,Planning Enforcement Notice,,,
JN24960,"Box 25_Client Box 25\ENF Notices June 85 - Nov 86 21\DURFORD ROAD, PETERSFIELD_F.25725-4.pdf",F.25725/4,"DURFORD ROAD, PETERSFIELD",27/02/1986,Planning Enforcement Notice,,,
JN24960,"Box 25_Client Box 25\ENF Notices June 85 - Nov 86 21\Home Farm, Ropley, Alresford, SO24 0EF_T-APP-M1710-C-86-830-P6.pdf",T/APP/M1710/C/86/830/P6,"Home Farm, Ropley, Alresford, SO24 0EF",28/10/1986,Planning Enforcement Appeal Decision,,,
JN24960,"Box 25_Client Box 25\ENF Notices June 85 - Nov 86 21\Home Farm, Ropley, Alresford, SO24 0EF_DMQ-DEB-12-9-236.pdf",DMQ/DEB/12/9/236,"Home Farm, Ropley, Alresford, SO24 0EF",13/03/1986,Planning Enforcement Notice,,,
JN24960,"Box 25_Client Box 25\ENF Notices June 85 - Nov 86 21\Conford Park Bungalow, Liphook, GU30 7QP_AJA-RBB-F.28739 and 28739-1-ENF80.pdf",AJA/RBB/F.28739 and 28739/1/ENF80,"Conford Park Bungalow, Liphook, GU30 7QP",07/11/1986,Planning Enforcement Appeal Decision,,,
JN24960,"Box 25_Client Box 25\ENF Notices June 85 - Nov 86 21\92 CHASE ROAD, LINDFORD, BORDON_DB-ME-12-9-239.pdf",DB/ME/12/9/239,"92 CHASE ROAD, LINDFORD, BORDON",21/01/1986,Planning Enforcement Notice,,,
JN24960,"Box 25_Client Box 25\ENF Notices June 85 - Nov 86 21\99A LONDON ROAD, HOLYBOURNE, ALTON_F22719-6.pdf",F22719/6,"99A LONDON ROAD, HOLYBOURNE, ALTON",21/01/1986,Planning Enforcement Notice,,,
JN24960,"Box 25_Client Box 25\ENF Notices June 85 - Nov 86 21\Stubbins Down, Adjacent To The Vale, Down Road, Horndean, PO8 0EU_DV-CC-F.26798-2-ENF.72.pdf",DV/CC/F.26798/2/ENF.72,"Stubbins Down, Adjacent To The Vale, Down Road, Horndean, PO8 0EU",12/08/1986,Planning Enforcement Appeal Decision,,,
JN24960,"Box 25_Client Box 25\ENF Notices June 85 - Nov 86 21\Stubbins Down, Adjoining The Vale, Horndean, PO8 0EU_DB-AW-12-9-232.pdf",DB/AW/12/9/232,"Stubbins Down, Adjoining The Vale, Horndean, PO8 0EU",17/01/1986,Planning Enforcement Notice,,,
JN24960,"Box 25_Client Box 25\ENF Notices June 85 - Nov 86 21\Red Roofs, Alton Lane, Four Marks, Hampshire, GU34 5AJ_DMQ-BJ-12-9-233.pdf",DMQ/BJ/12/9/233,"Red Roofs, Alton Lane, Four Marks, Hampshire, GU34 5AJ",19/03/1987,Planning Enforcement Appeal Decision,,,
JN24960,"Box 25_Client Box 25\ENF Notices June 85 - Nov 86 21\Primary School, Chapel Street, East Meon, GU32 1NR_F27861-3.pdf",F27861/3,"Primary School, Chapel Street, East Meon, GU32 1NR",28/01/1986,Planning Enforcement Notice,,,
JN24960,"Box 25_Client Box 25\ENF Notices June 85 - Nov 86 21\1 Sandrock Cottages, Kingsley, GU35 9LS_F26718-5.pdf",F26718/5,"1 Sandrock Cottages, Kingsley, GU35 9LS",13/01/1986,Planning Enforcement Notice,,,
JN24960,"Box 25_Client Box 25\ENF Notices June 85 - Nov 86 21\Southview Farm, Duckpond Lane, Blendworth, CV10 0FH_F.26710-3-ENF.pdf",F.26710/3/ENF,"Southview Farm, Duckpond Lane, Blendworth, CV10 0FH",31/10/1986,Planning Enforcement Appeal Decision,,,
JN24960,"Box 25_Client Box 25\ENF Notices June 85 - Nov 86 21\Bannbridge House, New Copse, Bentworth, Nr Alton, Hampshire, GU34 5NP_F21124-8.pdf",F21124/8,"Bannbridge House, New Copse, Bentworth, Nr Alton, Hampshire, GU34 5NP",26/02/1986,Planning Enforcement Appeal Decision,,,
JN24960,"Box 25_Client Box 25\ENF Notices June 85 - Nov 86 21\Bowyers Nursery, Farnham Road, Liss, Hampshire, GU33 6LJ_T-APP-M1710-C-85-3567-P6.pdf",T/APP/M1710/C/85/3567/P6,"Bowyers Nursery, Farnham Road, Liss, Hampshire, GU33 6LJ",07/05/1986,Planning Enforcement Appeal Decision,,,
JN24960,"Box 25_Client Box 25\ENF Notices June 85 - Nov 86 21\Green Farm, Froxfield Green, Froxfield, SN8 3JY_F27698-2.pdf",F27698/2,"Green Farm, Froxfield Green, Froxfield, SN8 3JY",07/10/1985,Planning Enforcement Appeal Decision,,,
JN24960,"Box 25_Client Box 25\ENF Notices June 85 - Nov 86 21\77 New Road, Clanfield, Hampshire, PO8 0NN_DB-AW-12-9-226.pdf",DB/AW/12/9/226,"77 New Road, Clanfield, Hampshire, PO8 0NN",14/08/1985,Planning Enforcement Notice,,,
JN24960,"Box 25_Client Box 25\ENF Notices June 85 - Nov 86 21\IDSWORTH HOUSE, IDSWORTH, ROWLANDS CASTLE_DB-AW-12-9-228.pdf",DB/AW/12/9/228,"IDSWORTH HOUSE, IDSWORTH, ROWLANDS CASTLE",14/08/1985,Planning Enforcement Notice,,,
JN24960,"Box 25_Client Box 25\ENF Notices June 85 - Nov 86 21\Stancombe Farm, Medstead, GU34 5QD_APP-M1710-E-85-3560.pdf",APP/M1710/E/85/3560,"Stancombe Farm, Medstead, GU34 5QD",07/04/1986,Planning Enforcement Appeal Decision,,,
JN24960,"Box 25_Client Box 25\ENF Notices June 85 - Nov 86 21\Stancombe Farm, Medstead, Alton, GU34 5QD_KK-JMP-12-9-221.pdf",KK/JMP/12/9/221,"Stancombe Farm, Medstead, Alton, GU34 5QD",14/08/1985,Planning Enforcement Notice,,,
JN24960,"Box 25_Client Box 25\ENF Notices June 85 - Nov 86 21\Mole Farm, Common Hill, Medstead, Alton, GU34 5LZ_F27184-ENF.pdf",F27184/ENF,"Mole Farm, Common Hill, Medstead, Alton, GU34 5LZ",10/06/1986,Planning Enforcement Appeal Decision,,,
JN24960,"Box 25_Client Box 25\ENF Notices March 89 - Dec 89 23\Forest Lane, Holt Pound, Binsted, GU10 4JY_RMB-JS-12-9.pdf",RMB/JS/12/9,"Forest Lane, Holt Pound, Binsted, GU10 4JY",27/09/1989,Planning Enforcement Notice,,,
JN24960,"Box 25_Client Box 25\ENF Notices March 89 - Dec 89 23\Stancomb Broad Lane and West of Pitlark Farm, Medstead, GU34 5QD_F29802-1-ENF221.pdf",F29802/1/ENF221,"Stancomb Broad Lane and West of Pitlark Farm, Medstead, GU34 5QD",02/08/1990,Planning Enforcement Appeal Decision,,,
JN24960,"Box 25_Client Box 25\ENF Notices March 89 - Dec 89 23\283 Farnham Road, West Liss, Hants, GU33 6JQ_KK-AM.pdf",KK/AM,"283 Farnham Road, West Liss, Hants, GU33 6JQ",10/08/1989,Planning Enforcement Notice,,,
JN24960,"Box 25_Client Box 25\ENF Notices March 89 - Dec 89 23\Hinton Daubney Horndean, Hampshire, PO8 0SG_KK-CMM-12-9-339.pdf",KK/CMM/12/9/339,"Hinton Daubney Horndean, Hampshire, PO8 0SG",14/08/1989,Planning Enforcement Notice,,,
JN24960,"Box 25_Client Box 25\ENF Notices March 89 - Dec 89 23\The Spaniard Inn, Bramshott Chase, Hindhead, East Hampshire, Hampshire, GU26 6DE_F.23817-3.pdf",F.23817/3,"The Spaniard Inn, Bramshott Chase, Hindhead, East Hampshire, Hampshire, GU26 6DE",14/08/1989,Planning Enforcement Notice,,,
JN24960,"Box 25_Client Box 25\ENF Notices March 89 - Dec 89 23\Trinity House Farm, Medstead, Hampshire, GU34 5LT_F26184-004-ENF213.pdf",F26184/004/ENF213,"Trinity House Farm, Medstead, Hampshire, GU34 5LT",19/07/1990,Planning Enforcement Appeal Decision,,,
JN24960,"Box 25_Client Box 25\ENF Notices March 89 - Dec 89 23\3 Drift Road, Whitehill-Blackmoor, GU35 9DZ_GB-F26817.pdf",GB/F26817,"3 Drift Road, Whitehill/Blackmoor, GU35 9DZ",08/08/1989,Planning Enforcement Notice,,,
JN24960,"Box 25_Client Box 25\ENF Notices March 89 - Dec 89 23\CHURCH AND MANOR HOUSE, FOREST ROAD, LISS_F30014-1.pdf",F30014/1,"CHURCH AND MANOR HOUSE, FOREST ROAD, LISS",08/08/1989,Planning Enforcement Notice,,,
JN24960,"Box 25_Client Box 25\ENF Notices March 89 - Dec 89 23\61 South Lane, Clanfield, PO8 0RX_F22462-1.pdf",F22462/1,"61 South Lane, Clanfield, PO8 0RX",08/08/1989,Planning Enforcement Notice,,,
JN24960,"Box 25_Client Box 25\ENF Notices March 89 - Dec 89 23\The Old Orchard, Petersfield Road, Monkwood, Ropley, SO24 0EQ_F.31155-ENF211.pdf",F.31155/ENF211,"The Old Orchard, Petersfield Road, Monkwood, Ropley, SO24 0EQ",08/08/1989,Planning Enforcement Notice,,,
JN24960,"Box 25_Client Box 25\ENF Notices March 89 - Dec 89 23\Abbey Fruit Farm, Medstead, Hampshire, GU34_F2388-7.pdf",F2388/7,"Abbey Fruit Farm, Medstead, Hampshire, GU34",08/08/1989,Planning Enforcement Notice,,,
JN24960,"Box 25_Client Box 25\ENF Notices March 89 - Dec 89 23\Forest Lane, Holt Pound, Binsted, Hants, Hampshire, GU10 4JY_RB-AM-44.pdf",RB/AM/44,"Forest Lane, Holt Pound, Binsted, Hants, Hampshire, GU10 4JY",27/09/1989,Planning Enforcement Notice,,,
JN24960,"Box 25_Client Box 25\ENF Notices March 89 - Dec 89 23\Hussell Lane, Medstead, GU34 5PF_GB-F24811-5.pdf",GB/F24811/5,"Hussell Lane, Medstead, GU34 5PF",08/08/1989,Planning Enforcement Notice,,,
JN24960,"Box 25_Client Box 25\ENF Notices March 89 - Dec 89 23\Hill House Nursery, Hill House Hill, Liphook, Hampshire, GU30 7PX_F.27625-6-ENF 205, F.27625-7-ENF206, F27625-8-ENF205, F.27625-4-ENF208.pdf","F.27625/6/ENF 205, F.27625/7/ENF206, F27625/8/ENF205, F.27625/4/ENF208","Hill House Nursery, Hill House Hill, Liphook, Hampshire, GU30 7PX",26/06/1989,Planning Enforcement Appeal Decision,,,
JN24960,"Box 25_Client Box 25\ENF Notices March 89 - Dec 89 23\HILL HOUSE NURSERY, HILL HOUSE HILL, LIPHOOK, HAMPSHIRE_F27625-5.pdf",F27625/5,"HILL HOUSE NURSERY, HILL HOUSE HILL, LIPHOOK, HAMPSHIRE",12/04/1989,Planning Enforcement Notice,,,
JN24960,"Box 25_Client Box 25\ENF Notices March 89 - Dec 89 23\30 MOUNT PLEASANT ROAD, ALTON_T-APP-C-89-M1710-37-P6.pdf",T/APP/C/89/M1710/37/P6,"30 MOUNT PLEASANT ROAD, ALTON",08/02/1990,Planning Enforcement Appeal Decision,,,
JN24960,"Box 25_Client Box 25\ENF Notices March 89 - Dec 89 23\MERLIN COURT, MERLIN ROAD, FOUR MARKY4_F271404-1.pdf",F271404/1,"MERLIN COURT, MERLIN ROAD, FOUR MARKY4",20/06/1989,Planning Enforcement Notice,,,
JN24960,"Box 25_Client Box 25\ENF Notices March 89 - Dec 89 23\1 Prospect Cottage, Prospect Lane, Rowlands Castle, PO9 5NH_F27404-1.pdf",F27404/1,"1 Prospect Cottage, Prospect Lane, Rowlands Castle, PO9 5NH",15/08/1989,Planning Enforcement Notice,,,
JN24960,"Box 25_Client Box 25\ENF Notices March 89 - Dec 89 23\Kiln Lane, Buriton, Petersfield, GU31 5SG_F24008-11.pdf",F24008/11,"Kiln Lane, Buriton, Petersfield, GU31 5SG",01/09/1989,Planning Enforcement Notice,,,
JN24960,"Box 25_Client Box 25\ENF Notices March 89 - Dec 89 23\Land at Filmore Hill, Privett, Froxfield, GU34 3NX_RGC-MCC-F.pdf",RGC/MCC/F,"Land at Filmore Hill, Privett, Froxfield, GU34 3NX",02/11/1989,Planning Enforcement Notice,,,
JN24960,"Box 25_Client Box 25\ENF Notices March 89 - Dec 89 23\COMMON FARM, SOLDRIDGE ROAD, MEDSTEAD, ALTON, HANTS_F.26008-5-ENF178.pdf",F.26008/5/ENF178,"COMMON FARM, SOLDRIDGE ROAD, MEDSTEAD, ALTON, HANTS",06/01/1990,Planning Enforcement Notice,,,
JN24960,"Box 25_Client Box 25\ENF Notices March 89 - Dec 89 23\23 Pulens Lane, Sheet, Petersfield, Hants, GU31 4BZ_F29159-1.pdf",F29159/1,"23 Pulens Lane, Sheet, Petersfield, Hants, GU31 4BZ",30/05/1989,Planning Enforcement Notice,,,
JN24960,"Box 25_Client Box 25\ENF Notices March 89 - Dec 89 23\Forest Lane, Holt Pound, Binsted, Hants, GU10 4JY_RMB-AC-1694.pdf",RMB/AC/1694,"Forest Lane, Holt Pound, Binsted, Hants, GU10 4JY",27/09/1989,Planning Enforcement Notice,,,
JN24960,"Box 25_Client Box 25\ENF Notices March 89 - Dec 89 23\Rosebud & Wyvern, Forest Road, Whitehill, GU35 9AZ_DB-AC-12-9-321.pdf",DB/AC/12/9/321,"Rosebud & Wyvern, Forest Road, Whitehill, GU35 9AZ",30/05/1989,Planning Enforcement Notice,,,
JN24960,"Box 25_Client Box 25\ENF Notices March 89 - Dec 89 23\Homefield, Paice Lane, Medstead, Hants, GU34 5PR_F28101-1.pdf",F28101/1,"Homefield, Paice Lane, Medstead, Hants, GU34 5PR",19/05/1989,Planning Enforcement Notice,,,
JN24960,"Box 25_Client Box 25\ENF Notices March 89 - Dec 89 23\REDCOTE, PAICE LANE, MEDSTEAD, HANTS_F22603-2.pdf",F22603/2,"REDCOTE, PAICE LANE, MEDSTEAD, HANTS",19/05/1989,Planning Enforcement Notice,,,
