Job Number,Filepath,Address,BS7666UPRN,Easting,Northing
JN24963,"Box 11\Street No. Binsted, Chawton, Buriton\Sycamores, Boyneswood Road, Medstead, Alton, GU34 5EA.pdf","Sycamores, Boyneswood Road, Medstead, Alton, GU34 5EA",100060261340,467255,135688
JN24963,"Box 05\Medstead\Athelstan House, Boyneswood Road, Medstead, Alton, GU34 5DY.pdf","Athelstan House, Boyneswood Road, Medstead, Alton, GU34 5DY",100060261341,467187,135540
JN24963,"Box 02\Street No. M'Stead Newton Valence\The Haven, Boyneswood Road, Medstead, Alton, GU34 5DY.pdf","The Haven, Boyneswood Road, Medstead, Alton, GU34 5DY",100060261343,467192,135561
JN24963,"Box 02\Street No. M'Stead Newton Valence\The Haven, Boyneswood Road, Medstead, Alton, GU34 5DY_00001.pdf","The Haven, Boyneswood Road, Medstead, Alton, GU34 5DY",100060261343,467192,135561
JN24963,"Box 05\Medstead\The Haven, Boyneswood Road, Medstead, Alton, GU34 5DY.pdf","The Haven, Boyneswood Road, Medstead, Alton, GU34 5DY",100060261343,467192,135561
JN24963,"Box 11\Street No. Binsted, Chawton, Buriton\Woodview Place, Boyneswood Road, Medstead, Alton, GU34 5DY.pdf","Woodview Place, Boyneswood Road, Medstead, Alton, GU34 5DY",100060261358,467265,135562
JN24963,"Box 12\Street No. Colemore & P. Dean, E. Meon, E. Tisted, Froyle\Wychcroft, 4 Brightstone Lane, Lower Farringdon, Alton, GU34 3DG.pdf","Wychcroft, 4 Brightstone Lane, Lower Farringdon, Alton, GU34 3DG",100060261406,470479.3,135003.1
JN24963,"Box 12\Street No. Colemore & P. Dean, E. Meon, E. Tisted, Froyle\Cedar House, Brightstone Lane, Lower Farringdon, Alton, GU34 3DG.pdf","Cedar House, Brightstone Lane, Lower Farringdon, Alton, GU34 3DG",100060261407,470466,135003
JN24963,"Box 03\Farringdon\Jasmine Cottage, Brightstone Lane, Lower Farringdon, Alton, GU34 3DP.pdf","Jasmine Cottage, Brightstone Lane, Lower Farringdon, Alton, GU34 3DP",100060261412,470409,135050
JN24963,"Box 12\Street No. Colemore & P. Dean, E. Meon, E. Tisted, Froyle\Millcroft, Brightstone Lane, Lower Farringdon, Alton, GU34 3DP.pdf","Millcroft, Brightstone Lane, Lower Farringdon, Alton, GU34 3DP",100060261417,470386.16,135045.74
JN24963,"Box 12\Street No. Colemore & P. Dean, E. Meon, E. Tisted, Froyle\October House, Brightstone Lane, Lower Farringdon, Alton, GU34 3DG.pdf","October House, Brightstone Lane, Lower Farringdon, Alton, GU34 3DG",100060261419,470467,135019
JN24963,"Box 12\Street No. Colemore & P. Dean, E. Meon, E. Tisted, Froyle\Willow End, Brightstone Lane, Lower Farringdon, Alton, GU34 3DG.pdf","Willow End, Brightstone Lane, Lower Farringdon, Alton, GU34 3DG",100060261424,470513,135008
JN24963,"Box 01\Street No. Rowlands Castle\Hurdles, Cakers Lane, East Worldham, Alton, GU34 3AB.pdf","Hurdles, Cakers Lane, East Worldham, Alton, GU34 3AB",100060261526,473477,138672
JN24963,"Box 13\Street No. Alton A-G\2a Chawton Park Road, Alton, GU34 1RG.pdf","2a Chawton Park Road, Alton, GU34 1RG",100060261648,471035.5,138500.89
JN24963,"Box 12\Street No. Colemore & P. Dean, E. Meon, E. Tisted, Froyle\Clermont, Church Road, Upper Farringdon, Alton, GU34 3EH.pdf","Clermont, Church Road, Upper Farringdon, Alton, GU34 3EH",100060261837,471110,135155
JN24963,"Box 03\Farringdon\Mole End, Crows Lane, Farringdon, Alton, GU34 3ED.pdf","Mole End, Crows Lane, Farringdon, Alton, GU34 3ED",100060262051,471514,135153
JN24963,"Box 12\Street No. Colemore & P. Dean, E. Meon, E. Tisted, Froyle\Mole End, Crows Lane, Farringdon, Alton, GU34 3ED.pdf","Mole End, Crows Lane, Farringdon, Alton, GU34 3ED",100060262051,471514,135153
JN24963,"Box 03\Farringdon\Penny Cottage, Crows Lane, Farringdon, Alton, GU34 3ED.pdf","Penny Cottage, Crows Lane, Farringdon, Alton, GU34 3ED",100060262058,471442,135129
JN24963,"Box 12\Street No. Colemore & P. Dean, E. Meon, E. Tisted, Froyle\Penny Cottage, Crows Lane, Farringdon, Alton, GU34 3ED.pdf","Penny Cottage, Crows Lane, Farringdon, Alton, GU34 3ED",100060262058,471442,135129
JN24963,"Box 12\Street No. Colemore & P. Dean, E. Meon, E. Tisted, Froyle\Three Chimneys, Crows Lane, Farringdon, Alton.pdf","Three Chimneys, Crows Lane, Farringdon, Alton",100060262061,471404,135237
JN24963,"Box 03\Farringdon\Merry Oak, Gaston Lane, Farringdon, Alton, GU34 3EE.pdf","Merry Oak, Gaston Lane, Farringdon, Alton, GU34 3EE",100060262571,471582,135491
JN24963,"Box 12\Street No. Colemore & P. Dean, E. Meon, E. Tisted, Froyle\Merry Oak, Gaston Lane, Farringdon, Alton, GU34 3EE.pdf","Merry Oak, Gaston Lane, Farringdon, Alton, GU34 3EE",100060262571,471582,135491
JN24963,"Box 12\Street No. Colemore & P. Dean, E. Meon, E. Tisted, Froyle\The Beeches, Gaston Lane, Farringdon, Alton, GU34 3EE.pdf","The Beeches, Gaston Lane, Farringdon, Alton, GU34 3EE",100060262572,471432,135458
JN24963,"Box 03\East Tisted\Old School House, Gosport Road, East Tisted, Alton, GU34 3QW.pdf","Old School House, Gosport Road, East Tisted, Alton, GU34 3QW",100060262770,470135,132091
JN24963,"Box 12\Street No. Colemore & P. Dean, E. Meon, E. Tisted, Froyle\Boundary House, Gosport Road, Lower Farringdon, Alton, GU34 3DH.pdf","Boundary House, Gosport Road, Lower Farringdon, Alton, GU34 3DH",100060262774,470525,135275
JN24963,"Box 12\Street No. Colemore & P. Dean, E. Meon, E. Tisted, Froyle\Aylwards House, Gosport Road, Lower Farringdon, Alton, GU34 3DL.pdf","Aylwards House, Gosport Road, Lower Farringdon, Alton, GU34 3DL",100060262786,470505.3,135090.1
JN24963,"Box 01\Street No. Rowlands Castle\Oaklands Farm, Green Street, East Worldham, Bordon, GU34 3AU.pdf","Oaklands Farm, Green Street, East Worldham, Bordon, GU34 3AU",100060262913,476322.445,137867.435
JN24963,"Box 11\Street No. Binsted, Chawton, Buriton\Smithyfield, Isington Lane, Froyle, Alton, GU34 4PW.pdf","Smithyfield, Isington Lane, Froyle, Alton, GU34 4PW",100060263611,477480,142597
JN24963,"Box 08\Binsted\Comptons, Isington Road, Binsted, Alton, GU34 4PL.pdf","Comptons, Isington Road, Binsted, Alton, GU34 4PL",100060263626,477347.9,142305.3
JN24963,"Box 11\Street No. Binsted, Chawton, Buriton\Comptons, Isington Road, Binsted, Alton, GU34 4PL.pdf","Comptons, Isington Road, Binsted, Alton, GU34 4PL",100060263626,477347.9,142305.3
JN24963,"Box 08\Binsted\Greatfield, Isington Road, Binsted, Alton, GU34 4PJ.pdf","Greatfield, Isington Road, Binsted, Alton, GU34 4PJ",100060263629,477398,142167
JN24963,"Box 11\Street No. Binsted, Chawton, Buriton\Greatfield, Isington Road, Binsted, Alton, GU34 4PJ.pdf","Greatfield, Isington Road, Binsted, Alton, GU34 4PJ",100060263629,477398,142167
JN24963,"Box 11\Street No. Binsted, Chawton, Buriton\Paddock Lodge, Isington Road, Binsted, Alton, GU34 4PR.pdf","Paddock Lodge, Isington Road, Binsted, Alton, GU34 4PR",100060263634,478365.039411515,142728.737205624
JN24963,"Box 02\Street No. M'Stead Newton Valence\Bakkehuset, 68 Lymington Bottom Road, Medstead, Alton, GU34 5EP.pdf","Bakkehuset, 68 Lymington Bottom Road, Medstead, Alton, GU34 5EP",100060264503,466203,135489
JN24963,"Box 11\Street No. Four Marks\Bakkehuset, 68 Lymington Bottom Road, Medstead, Alton, GU34 5EP.pdf","Bakkehuset, 68 Lymington Bottom Road, Medstead, Alton, GU34 5EP",100060264503,466203,135489
JN24963,"Box 05\Medstead\Dragonfly's Rest, 71 Lymington Bottom Road, Medstead, Alton, GU34 5EP.pdf","Dragonfly's Rest, 71 Lymington Bottom Road, Medstead, Alton, GU34 5EP",100060264506,466179,135394
JN24963,"Box 11\Street No. Froxfield, G'Shott, Hawkley\Fox Cottage, Merepond Lane, Privett, Alton, GU34 3PF.pdf","Fox Cottage, Merepond Lane, Privett, Alton, GU34 3PF",100060264854,468342.5,127187.4
JN24963,"Box 07\Bentworth\Bentworth Fields, New Copse, Bentworth, Alton, GU34 5NP.pdf","Bentworth Fields, New Copse, Bentworth, Alton, GU34 5NP",100060265025,465911.7,138342.2
JN24963,"Box 07\Bentworth\Plum Tree Cottage, Jenny Green Lane, Bentworth, Alton, GU34 5NP.pdf","Plum Tree Cottage, Jenny Green Lane, Bentworth, Alton, GU34 5NP",100060265027,466098.4,138302.3
JN24963,"Box 02\Street No. M'Stead Newton Valence\Hollingworth, New Copse, Bentworth, Alton, GU34 5NP.pdf","Hollingworth, New Copse, Bentworth, Alton, GU34 5NP",100060265028,465804.5,138340
